trip_id,line,departure_stop,arrival_stop,planned_departure,actual_arrival,passenger_count,delay_minutes
21,Ligne A,Stop 2,Stop 4,2025-04-01 09:20:00,2025-04-01 10:00:00,64,10
22,Ligne B,Stop 3,Stop 2,2025-04-01 09:30:00,2025-04-01 10:10:00,27,10
23,Ligne B,Stop 1,Stop 2,2025-04-01 09:40:00,2025-04-01 10:10:00,24,0
24,Ligne C,Stop 2,Stop 5,2025-04-01 09:50:00,2025-04-01 10:25:00,18,5
25,Ligne B,Stop 5,Stop 4,2025-04-01 10:00:00,2025-04-01 10:30:00,77,0
26,Ligne C,Stop 1,Stop 2,2025-04-01 10:10:00,2025-04-01 10:40:00,78,0
27,Ligne C,Stop 3,Stop 1,2025-04-01 10:20:00,2025-04-01 10:55:00,47,5
28,Ligne A,Stop 4,Stop 1,2025-04-01 10:30:00,2025-04-01 11:10:00,43,10
29,Ligne A,Stop 5,Stop 1,2025-04-01 10:40:00,2025-04-01 11:07:00,48,-3
30,Ligne C,Stop 5,Stop 2,2025-04-01 10:50:00,2025-04-01 11:20:00,29,0
31,Ligne A,Stop 5,Stop 1,2025-04-01 11:00:00,2025-04-01 11:35:00,51,5
32,Ligne A,Stop 1,Stop 4,2025-04-01 11:10:00,2025-04-01 11:40:00,49,0
33,Ligne A,Stop 2,Stop 1,2025-04-01 11:20:00,2025-04-01 11:47:00,20,-3
34,Ligne B,Stop 1,Stop 3,2025-04-01 11:30:00,2025-04-01 11:57:00,26,-3
35,Ligne B,Stop 5,Stop 2,2025-04-01 11:40:00,2025-04-01 12:20:00,43,10
36,Ligne C,Stop 4,Stop 2,2025-04-01 11:50:00,2025-04-01 12:17:00,79,-3
37,Ligne C,Stop 2,Stop 4,2025-04-01 12:00:00,2025-04-01 12:27:00,61,-3
38,Ligne C,Stop 3,Stop 5,2025-04-01 12:10:00,2025-04-01 12:45:00,76,5
39,Ligne A,Stop 2,Stop 3,2025-04-01 12:20:00,2025-04-01 12:50:00,18,0
40,Ligne A,Stop 5,Stop 2,2025-04-01 12:30:00,2025-04-01 13:00:00,38,0
41,Ligne A,Stop 1,Stop 3,2025-04-01 12:40:00,2025-04-01 13:10:00,18,0
42,Ligne B,Stop 1,Stop 3,2025-04-01 12:50:00,2025-04-01 13:17:00,45,-3
43,Ligne B,Stop 2,Stop 3,2025-04-01 13:00:00,2025-04-01 13:30:00,70,0
44,Ligne B,Stop 4,Stop 2,2025-04-01 13:10:00,2025-04-01 13:40:00,22,0
45,Ligne C,Stop 4,Stop 3,2025-04-01 13:20:00,2025-04-01 13:55:00,64,5
46,Ligne B,Stop 1,Stop 2,2025-04-01 13:30:00,2025-04-01 14:05:00,17,5
47,Ligne C,Stop 3,Stop 1,2025-04-01 13:40:00,2025-04-01 14:10:00,41,0
48,Ligne A,Stop 5,Stop 4,2025-04-01 13:50:00,2025-04-01 14:25:00,27,5
49,Ligne A,Stop 3,Stop 5,2025-04-01 14:00:00,2025-04-01 14:30:00,41,0
50,Ligne B,Stop 5,Stop 1,2025-04-01 14:10:00,2025-04-01 14:37:00,16,-3
51,Ligne C,Stop 1,Stop 2,2025-04-01 14:20:00,2025-04-01 14:50:00,40,0
52,Ligne B,Stop 4,Stop 5,2025-04-01 14:30:00,2025-04-01 15:05:00,37,5
53,Ligne A,Stop 2,Stop 5,2025-04-01 14:40:00,2025-04-01 15:15:00,10,5
54,Ligne B,Stop 4,Stop 3,2025-04-01 14:50:00,2025-04-01 15:17:00,64,-3
55,Ligne C,Stop 5,Stop 4,2025-04-01 15:00:00,2025-04-01 15:30:00,29,0
56,Ligne B,Stop 2,Stop 1,2025-04-01 15:10:00,2025-04-01 15:40:00,79,0
57,Ligne C,Stop 3,Stop 1,2025-04-01 15:20:00,2025-04-01 16:00:00,16,10
58,Ligne B,Stop 5,Stop 2,2025-04-01 15:30:00,2025-04-01 16:10:00,17,10
59,Ligne A,Stop 2,Stop 1,2025-04-01 15:40:00,2025-04-01 16:07:00,18,-3
60,Ligne A,Stop 4,Stop 1,2025-04-01 15:50:00,2025-04-01 16:30:00,41,10
61,Ligne C,Stop 1,Stop 2,2025-04-01 16:00:00,2025-04-01 16:27:00,63,-3
62,Ligne C,Stop 5,Stop 3,2025-04-01 16:10:00,2025-04-01 16:40:00,43,0
63,Ligne C,Stop 3,Stop 2,2025-04-01 16:20:00,2025-04-01 16:55:00,43,5
64,Ligne A,Stop 3,Stop 5,2025-04-01 16:30:00,2025-04-01 17:00:00,50,0
65,Ligne A,Stop 4,Stop 1,2025-04-01 16:40:00,2025-04-01 17:20:00,19,10
66,Ligne A,Stop 5,Stop 3,2025-04-01 16:50:00,2025-04-01 17:20:00,26,0
67,Ligne A,Stop 2,Stop 4,2025-04-01 17:00:00,2025-04-01 17:30:00,46,0
68,Ligne B,Stop 5,Stop 3,2025-04-01 17:10:00,2025-04-01 17:40:00,77,0
69,Ligne C,Stop 5,Stop 3,2025-04-01 17:20:00,2025-04-01 17:50:00,23,0
70,Ligne B,Stop 1,Stop 2,2025-04-01 17:30:00,2025-04-01 18:00:00,80,0
71,Ligne B,Stop 3,Stop 2,2025-04-01 17:40:00,2025-04-01 18:10:00,53,0
72,Ligne C,Stop 3,Stop 5,2025-04-01 17:50:00,2025-04-01 18:20:00,42,0
73,Ligne A,Stop 4,Stop 3,2025-04-01 18:00:00,2025-04-01 18:30:00,15,0
74,Ligne B,Stop 2,Stop 4,2025-04-01 18:10:00,2025-04-01 18:37:00,30,-3
75,Ligne B,Stop 5,Stop 4,2025-04-01 18:20:00,2025-04-01 18:50:00,11,0
76,Ligne A,Stop 2,Stop 1,2025-04-01 18:30:00,2025-04-01 19:10:00,57,10
77,Ligne C,Stop 2,Stop 5,2025-04-01 18:40:00,2025-04-01 19:10:00,26,0
78,Ligne B,Stop 3,Stop 1,2025-04-01 18:50:00,2025-04-01 19:20:00,55,0
79,Ligne C,Stop 2,Stop 1,2025-04-01 19:00:00,2025-04-01 19:40:00,55,10
80,Ligne B,Stop 5,Stop 2,2025-04-01 19:10:00,2025-04-01 19:40:00,40,0
81,Ligne A,Stop 4,Stop 1,2025-04-01 19:20:00,2025-04-01 19:47:00,32,-3
82,Ligne B,Stop 4,Stop 2,2025-04-01 19:30:00,2025-04-01 20:00:00,44,0
83,Ligne C,Stop 1,Stop 5,2025-04-01 19:40:00,2025-04-01 20:15:00,14,5
84,Ligne A,Stop 2,Stop 5,2025-04-01 19:50:00,2025-04-01 20:20:00,54,0
85,Ligne A,Stop 2,Stop 1,2025-04-01 20:00:00,2025-04-01 20:35:00,34,5
86,Ligne B,Stop 3,Stop 1,2025-04-01 20:10:00,2025-04-01 20:40:00,45,0
87,Ligne C,Stop 5,Stop 4,2025-04-01 20:20:00,2025-04-01 20:50:00,78,0
88,Ligne A,Stop 1,Stop 4,2025-04-01 20:30:00,2025-04-01 21:10:00,32,10
89,Ligne B,Stop 1,Stop 2,2025-04-01 20:40:00,2025-04-01 21:10:00,65,0
90,Ligne C,Stop 3,Stop 5,2025-04-01 20:50:00,2025-04-01 21:20:00,75,0
91,Ligne B,Stop 5,Stop 2,2025-04-01 21:00:00,2025-04-01 21:30:00,42,0
92,Ligne C,Stop 4,Stop 1,2025-04-01 21:10:00,2025-04-01 21:50:00,76,10
93,Ligne C,Stop 2,Stop 4,2025-04-01 21:20:00,2025-04-01 21:50:00,65,0
94,Ligne C,Stop 3,Stop 4,2025-04-01 21:30:00,2025-04-01 21:57:00,25,-3
95,Ligne B,Stop 5,Stop 3,2025-04-01 21:40:00,2025-04-01 22:10:00,62,0
96,Ligne B,Stop 3,Stop 2,2025-04-01 21:50:00,2025-04-01 22:25:00,34,5
97,Ligne C,Stop 4,Stop 2,2025-04-01 22:00:00,2025-04-01 22:35:00,48,5
98,Ligne C,Stop 1,Stop 4,2025-04-01 22:10:00,2025-04-01 22:40:00,46,0
99,Ligne B,Stop 5,Stop 3,2025-04-01 22:20:00,2025-04-01 22:55:00,69,5
100,Ligne B,Stop 2,Stop 5,2025-04-01 22:30:00,2025-04-01 22:57:00,31,-3
